Date,NIFTY_Previous_Close,NIFTY_Open,NIFTY_High,NIFTY_Low,NIFTY_Average,NIFTY_Close,NIFTY_09_30,NIFTY_10_00,NIFTY_12_30,NIFTY_14_00,NIFTY_15_15,NIFTY_15_15_to_Close,NIFTY_Day_Range,NIFTY_Open_to_Close,NIFTY_Gap,NEXT_DAY_NIFTY_High,NEXT_DAY_NIFTY_Low,NEXT_DAY_NIFTY_Average,NEXT_DAY_NIFTY_Close,NEXT_DAY_DATE,NIFTY_15_30,NIFTY_15_15_to_15_30_Difference,NIFTY_15_15_to_15_30_Direction
2026-08-03,,24568.0,24774.3,24515.5,24586.3,24774.3,24550.25,24564.1,24604.45,24586.7,24573.55,200.75,258.8,206.3,,24666.65,24428.2,24529.55,24614.9,2026-08-04,,,
2026-08-04,24774.3,24666.65,24666.65,24428.2,24529.55,24614.9,24598.5,24633.8,24517.65,24450.6,24462.95,151.95,238.45,-51.75,-107.65,24669.2,24498.25,24567.85,24624.65,2026-08-05,,,
2026-08-05,24614.9,24669.2,24669.2,24498.25,24567.85,24624.65,24621.4,24594.25,24566.9,24514.45,24572.25,52.4,170.95,-44.55,54.3,24676.8,24605.95,24639.31,24636.0,2026-08-06,,,
2026-08-06,24624.65,24632.7,24676.8,24605.95,24639.31,24636.0,24637.75,24637.55,24637.35,24646.25,24628.5,7.5,70.85,3.3,8.05,24629.8,24522.9,24566.23,24570.65,2026-08-07,,,
2026-08-07,24636.0,24535.05,24629.8,24522.9,24566.23,24570.65,24604.0,24625.8,24550.0,24565.85,24558.95,11.7,106.9,35.6,-100.95,24620.55,24511.3,24582.02,24583.8,2026-08-10,,,
2026-08-10,24570.65,24584.05,24620.55,24511.3,24582.02,24583.8,24557.9,24536.35,24610.35,24591.8,24560.05,23.75,109.25,-0.25,13.4,24575.5,24429.25,24458.75,24471.7,2026-08-11,,,
2026-08-11,24583.8,24575.5,24575.5,24429.25,24458.75,24471.7,24486.9,24486.4,24439.35,24451.0,24450.0,21.7,146.25,-103.8,-8.3,24472.45,24265.95,24327.22,24435.95,2026-08-12,,,
2026-08-12,24471.7,24472.45,24472.45,24265.95,24327.22,24435.95,24440.7,24362.9,24288.6,24278.55,24369.3,,206.5,,0.75,,,,,,24435.95,66.65,POSITIVE
