Date,Current_Close,Current_Range,Previous_Range,Range_3,Range_5,Volatility_Regime,Volatility_Multiplier,Direction_Signal,Predicted_Next_High,Predicted_Next_Low,Predicted_Next_Average,Predicted_Next_Close,Expected_Range,Bias
2026-08-05,24624.65,170.95,238.45,222.73333333333335,,NORMAL,1.0,4.385624999999754,24741.480802083333,24510.889135416666,24626.18496875,24626.18496875,230.59166666666715,SIDEWAYS
2026-08-06,24636.0,70.85,170.95,160.08333333333334,,LOW_VOLATILITY,0.85,0.9349999999994902,24706.67183333333,24565.982666666667,24636.32725,24636.32725,140.68916666666337,SIDEWAYS
2026-08-07,24570.65,106.9,70.85,116.23333333333333,169.19,NORMAL,1.0,-28.716874999999163,24606.417613750004,24502.284613750002,24554.351113750003,24560.599093750003,104.13300000000163,SIDEWAYS
2026-08-10,24583.8,109.25,106.9,95.66666666666667,139.28000000000003,NORMAL,1.0,1.2724999999989897,24639.248375,24529.242374999998,24584.245375,24584.245375,110.00600000000122,SIDEWAYS
2026-08-11,24471.7,146.25,109.25,120.8,120.84,HIGH_VOLATILITY,1.15,-39.01474999999971,24516.251535500003,24383.9635855,24450.1075605,24458.0448375,132.28795000000173,BEARISH
2026-08-12,24435.95,206.5,146.25,154.0,127.95,HIGH_VOLATILITY,1.15,-10.335625000000164,24515.65865625,24349.006406250002,24432.332531250002,24432.332531250002,166.65224999999919,SIDEWAYS
